Geography,Segment,Variety,Timeframe,Period,"Current Year Week Ending","Units Prior Year","Units Current Year","Unit Variance","Dollars Prior Year","Dollars Current Year","Dollar Variance","ASP Prior Year","ASP Current Year","ASP Variance"
Albany,Avocados,Hass,"Last 04 Wks",1,"2018-01-28 00:00:00",414997.59,441313.06,0.063411139,526144.34,560090.98,0.064519634,1.267825049,1.269146623,0.001042395
Albany,Avocados,Hass,"Last 04 Wks",2,"2018-02-25 00:00:00",474327.41,545814.07,0.150711636,643283.21,727521.80,0.130951016,1.356200794,1.332911407,-0.017172521
Albany,Avocados,Hass,"Last 04 Wks",3,"2018-03-25 00:00:00",428197.68,545890.39,0.274856020,536982.97,630076.44,0.173363915,1.254053899,1.154217864,-0.079610641
Albany,Avocados,Hass,"Last 04 Wks",4,"2018-04-22 00:00:00",388241.62,561508.32,0.446285743,557034.31,618994.11,0.111231568,1.434761966,1.102377450,-0.231665268
Albany,Avocados,Hass,"Last 04 Wks",5,"2018-05-20 00:00:00",473973.05,663024.40,0.398865189,587504.68,687736.85,0.170606590,1.239531826,1.037272309,-0.163174122
Albany,Avocados,Hass,"Last 04 Wks",6,"2018-06-17 00:00:00",415443.67,649125.39,0.562487136,624191.90,703516.41,0.127083530,1.502470600,1.083791238,-0.278660602
Albany,Avocados,Hass,"Last 04 Wks",7,"2018-07-15 00:00:00",413702.81,553999.33,0.339123923,577960.35,690191.88,0.194185518,1.397042360,1.245835225,-0.108233751
Albany,Avocados,Hass,"Last 04 Wks",8,"2018-08-12 00:00:00",417671.30,580631.47,0.390163677,572604.86,668950.65,0.168258771,1.370946148,1.152108841,-0.159625021
Albany,Avocados,Hass,"Last 04 Wks",9,"2018-09-09 00:00:00",347638.75,489044.10,0.406759459,525601.10,642423.04,0.222263500,1.511917472,1.313630080,-0.131149614
Albany,Avocados,Hass,"Last 04 Wks",10,"2018-10-07 00:00:00",309351.58,394508.22,0.275274624,492890.59,532122.50,0.079595575,1.593302320,1.348824874,-0.153440714
Albany,Avocados,Hass,"Last 04 Wks",11,"2018-11-04 00:00:00",296886.48,389242.22,0.311080990,478452.40,512395.95,0.070944466,1.611566818,1.316393556,-0.183159184
Albany,Avocados,Hass,"Last 04 Wks",12,"2018-12-02 00:00:00",419403.47,357275.95,-0.148133061,492424.75,487996.27,-0.008993212,1.174107477,1.365880547,0.163335192
Albany,Avocados,Hass,"Last 04 Wks",13,"2018-12-30 00:00:00",365907.97,438726.68,0.199008264,516383.34,522607.51,0.012053390,1.411238296,1.191191541,-0.155924592
Atlanta,Avocados,Hass,"Last 04 Wks",1,"2018-01-28 00:00:00",2254676.72,2657566.19,0.178690571,2477949.24,2858548.70,0.153594534,1.099026401,1.075626530,-0.021291454
Atlanta,Avocados,Hass,"Last 04 Wks",2,"2018-02-25 00:00:00",2542054.13,2866184.94,0.127507438,2408064.44,2723822.22,0.131125137,0.947290780,0.950330239,0.003208581
Atlanta,Avocados,Hass,"Last 04 Wks",3,"2018-03-25 00:00:00",1746614.74,2727814.60,0.561772346,2462350.38,2783083.09,0.130254700,1.409784495,1.020261087,-0.276299966
Atlanta,Avocados,Hass,"Last 04 Wks",4,"2018-04-22 00:00:00",1851796.79,2940961.10,0.588166216,2626175.21,2874553.53,0.094577970,1.418176781,0.977419773,-0.310791302
Atlanta,Avocados,Hass,"Last 04 Wks",5,"2018-05-20 00:00:00",2277055.68,3536468.96,0.553088487,3028288.17,3269632.75,0.079696702,1.329913975,0.924547278,-0.304806705
Atlanta,Avocados,Hass,"Last 04 Wks",6,"2018-06-17 00:00:00",2135084.61,3083727.81,0.444311760,2892568.22,3073512.18,0.062554777,1.354779200,0.996687247,-0.264317576
Atlanta,Avocados,Hass,"Last 04 Wks",7,"2018-07-15 00:00:00",2088769.99,3041629.92,0.456182315,2752210.54,2941451.31,0.068759554,1.317622598,0.967064169,-0.266053747
Atlanta,Avocados,Hass,"Last 04 Wks",8,"2018-08-12 00:00:00",2119553.69,2874372.92,0.356121779,2849448.70,2867048.49,0.006176560,1.344362596,0.997451816,-0.258048521
Atlanta,Avocados,Hass,"Last 04 Wks",9,"2018-09-09 00:00:00",1942931.14,2817882.27,0.450325342,2980728.81,3066974.11,0.028934299,1.534140222,1.088396823,-0.290549320
Atlanta,Avocados,Hass,"Last 04 Wks",10,"2018-10-07 00:00:00",1714352.41,2777455.06,0.620119086,2741457.54,2950289.23,0.076175424,1.599121350,1.062227531,-0.335743012
Atlanta,Avocados,Hass,"Last 04 Wks",11,"2018-11-04 00:00:00",1955468.43,2728867.51,0.395505787,2661602.43,2608739.87,-0.019861178,1.361107338,0.955978940,-0.297646179
Atlanta,Avocados,Hass,"Last 04 Wks",12,"2018-12-02 00:00:00",1948010.89,2168627.57,0.113252283,2177644.55,2257464.10,0.036654077,1.117881097,1.040964401,-0.068805793
Atlanta,Avocados,Hass,"Last 04 Wks",13,"2018-12-30 00:00:00",2177523.25,2579433.49,0.184572192,2218274.79,2485497.92,0.120464395,1.018714629,0.963582868,-0.054118945
Baltimore/Washington,Avocados,Hass,"Last 04 Wks",1,"2018-01-28 00:00:00",3580774.31,4030339.16,0.125549619,4719902.49,5218072.49,0.105546672,1.318123423,1.294698109,-0.017771715
Baltimore/Washington,Avocados,Hass,"Last 04 Wks",2,"2018-02-25 00:00:00",3854974.22,3937254.03,0.021343803,4764127.70,5190680.32,0.089534254,1.235839056,1.318350373,0.066765423
Baltimore/Washington,Avocados,Hass,"Last 04 Wks",3,"2018-03-25 00:00:00",3380052.91,4179901.98,0.236638032,4932859.98,5223116.33,0.058841392,1.459403184,1.249578664,-0.143774197
Baltimore/Washington,Avocados,Hass,"Last 04 Wks",4,"2018-04-22 00:00:00",3255836.70,3901925.01,0.198440023,5125856.21,5243283.72,0.022908858,1.574359122,1.343768449,-0.146466375
Baltimore/Washington,Avocados,Hass,"Last 04 Wks",5,"2018-05-20 00:00:00",3593499.36,4961701.43,0.380743652,5496730.47,5865048.67,0.067006778,1.529631682,1.182064006,-0.227223115
Baltimore/Washington,Avocados,Hass,"Last 04 Wks",6,"2018-06-17 00:00:00",3267631.29,4326340.69,0.323999040,5485354.08,5813099.18,0.059749124,1.678694318,1.343652661,-0.199584673
Baltimore/Washington,Avocados,Hass,"Last 04 Wks",7,"2018-07-15 00:00:00",3136114.53,3895250.47,0.242062569,4788883.73,5489140.66,0.146225503,1.527011748,1.409188113,-0.077159612
Baltimore/Washington,Avocados,Hass,"Last 04 Wks",8,"2018-08-12 00:00:00",3081050.35,3727815.92,0.209917235,4490113.71,4947253.47,0.101810286,1.457332143,1.327118499,-0.089350698
