"Week","Status","Total Volume","California","Chile","Mexico","Peru","Colombia"
"Jan 6, 2019","Actual","17,982,438","0","504,051","17,478,386","0","0"
"Jan 13, 2019","Actual","33,164,827","32,458","523,653","32,608,715","0","0"
"Jan 20, 2019","Actual","33,231,285","16,080","309,225","32,905,979","0","0"
"Jan 27, 2019","Actual","26,852,870","138,807","307,021","26,407,041","0","0"
"Feb 3, 2019","Actual","20,516,793","102,486","265,240","20,149,065","0","0"
"Feb 10, 2019","Actual","17,867,565","58,947","225,451","17,583,166","0","0"
"Feb 17, 2019","Actual","23,967,131","99,322","186,048","23,681,761","0","0"
"Feb 24, 2019","Actual","27,662,445","180,122","83,865","27,376,952","21,503","0"
"Mar 3, 2019","Actual","25,544,246","312,653","101,428","25,130,164","0","0"
"Mar 10, 2019","Actual","25,259,321","255,737","101,698","24,901,884","0","0"
"Mar 17, 2019","Actual","26,154,685","505,834","20,813","25,628,036","0","0"
"Mar 24, 2019","Actual","21,709,066","712,720","0","20,996,345","0","0"
"Mar 31, 2019","Actual","26,205,099","1,556,380","0","24,648,719","0","0"
"Apr 7, 2019","Actual","30,077,488","3,626,784","0","26,450,704","0","0"
"Apr 14, 2019","Actual","32,548,743","5,036,331","0","27,512,411","0","0"
"Apr 21, 2019","Actual","18,699,814","4,487,882","0","14,125,916","86,015","0"
"Apr 28, 2019","Actual","19,826,955","4,279,338","0","15,182,052","365,563","0"
"May 5, 2019","Actual","17,136,065","3,299,487","0","13,169,960","666,616","0"
"May 12, 2019","Actual","20,554,280","3,047,796","0","16,710,844","795,639","0"
"May 19, 2019","Actual","22,949,568","4,177,127","0","16,772,590","1,999,849","0"
"May 26, 2019","Actual","24,243,743","5,266,114","0","16,160,635","2,816,992","0"
"Jun 2, 2019","Actual","22,116,348","4,134,902","0","13,465,655","4,515,789","0"
"Jun 9, 2019","Actual","19,985,271","4,567,467","0","10,278,404","5,139,399","0"
"Jun 16, 2019","Actual","19,579,740","4,945,967","0","8,612,719","6,021,053","0"
"Jun 23, 2019","Actual","19,555,594","5,682,034","0","5,852,656","8,020,903","0"
"Jun 30, 2019","Actual","17,472,181","6,214,440","0","3,924,957","7,332,782","0"
"Jul 7, 2019","Actual","23,335,906","5,741,418","0","9,536,491","8,057,995","0"
"Jul 14, 2019","Actual","24,570,770","5,793,547","0","10,885,341","7,891,880","0"
"Jul 21, 2019","Actual","23,398,566","4,487,157","0","12,395,768","6,515,639","0"
"Jul 28, 2019","Actual","24,276,947","3,422,447","0","14,209,837","6,644,662","0"
"Aug 4, 2019","Actual","17,973,450","2,452,862","43,007","10,101,639","5,375,940","0"
"Aug 11, 2019","Actual","14,010,356","1,907,796","107,023","8,597,941","3,397,594","0"
"Aug 18, 2019","Actual","22,549,024","1,752,764","148,983","17,335,696","3,311,579","0"
"Aug 25, 2019","Actual","21,920,152","1,366,759","564,764","18,289,830","1,698,797","0"
"Sep 1, 2019","Actual","16,823,952","1,013,190","763,907","13,520,087","1,526,767","0"
"Sep 8, 2019","Actual","20,392,147","498,538","1,091,076","18,221,930","580,601","0"
"Sep 15, 2019","Actual","23,478,116","423,658","1,284,436","21,468,968","301,052","0"
"Sep 22, 2019","Actual","18,660,201","325,451","1,655,601","16,636,140","43,007","0"
"Sep 29, 2019","Actual","25,528,984","277,577","1,467,704","23,783,702","0","0"
"Oct 6, 2019","Actual","22,148,372","216,247","1,192,287","20,717,157","0","22,679"
"Oct 13, 2019","Actual","23,599,398","77,223","1,045,209","22,476,965","0","0"
"Oct 20, 2019","Actual","20,508,511","0","766,209","19,742,301","0","0"
"Oct 27, 2019","Actual","21,984,715","0","621,195","21,363,518","0","0"
"Nov 3, 2019","Actual","24,091,303","0","545,248","23,546,054","0","0"
"Nov 10, 2019","Actual","19,603,180","0","85,345","19,517,834","0","0"
"Nov 17, 2019","Actual","18,735,493","0","40,800","18,694,693","0","0"
"Nov 24, 2019","Actual","17,961,124","0","106,296","17,854,826","0","0"
"Dec 1, 2019","Actual","22,346,673","0","165,047","22,181,625","0","0"
"Dec 8, 2019","Actual","25,248,215","0","142,703","25,105,510","0","0"
"Dec 15, 2019","Actual","21,966,259","0","142,703","21,823,555","0","0"
"Dec 22, 2019","Actual","22,498,403","0","80,639","22,417,762","0","0"
"Dec 29, 2019","Actual","15,153,757","0","101,039","15,052,716","0","0"
