Geography,Segment,Variety,Timeframe,Period,"Current Year Week Ending","Units Prior Year","Units Current Year","Unit Variance","Dollars Prior Year","Dollars Current Year","Dollar Variance","ASP Prior Year","ASP Current Year","ASP Variance"
California,Avocados,Hass,"Last 04 Wks",1,"2021-01-24 00:00:00",28210350.00,32841325.00,0.164000000,32627821.00,36329689.00,0.113000000,1.160000000,1.110000000,-0.044000000
"Great Lakes",Avocados,Hass,"Last 04 Wks",1,"2021-01-24 00:00:00",20595213.00,23812467.00,0.156000000,19860022.00,21352942.00,0.075000000,0.960000000,0.900000000,-0.070000000
Midsouth,Avocados,Hass,"Last 04 Wks",1,"2021-01-24 00:00:00",18475949.00,21313972.00,0.154000000,18722366.00,19668640.00,0.051000000,1.010000000,0.920000000,-0.089000000
Northeast,Avocados,Hass,"Last 04 Wks",1,"2021-01-24 00:00:00",24916925.00,30593641.00,0.228000000,30056373.00,31594774.00,0.051000000,1.210000000,1.030000000,-0.144000000
Plains,Avocados,Hass,"Last 04 Wks",1,"2021-01-24 00:00:00",9255175.00,11745524.00,0.269000000,9552605.00,9444237.00,-0.011000000,1.030000000,0.800000000,-0.221000000
"South Central",Avocados,Hass,"Last 04 Wks",1,"2021-01-24 00:00:00",32660758.00,35358601.00,0.083000000,23855187.00,23624225.00,-0.010000000,0.730000000,0.670000000,-0.085000000
Southeast,Avocados,Hass,"Last 04 Wks",1,"2021-01-24 00:00:00",27444524.00,27013222.00,-0.016000000,24538713.00,21772872.00,-0.113000000,0.890000000,0.810000000,-0.099000000
"Total U.S.",Avocados,Hass,"Last 04 Wks",1,"2021-01-24 00:00:00",195940463.00,221320736.00,0.130000000,191887990.00,196263222.00,0.023000000,0.980000000,0.890000000,-0.094000000
West,Avocados,Hass,"Last 04 Wks",1,"2021-01-24 00:00:00",34381568.00,38641985.00,0.124000000,32674903.00,32475842.00,-0.006000000,0.950000000,0.840000000,-0.116000000
Albany,Avocados,Hass,"Last 04 Wks",1,"2021-01-24 00:00:00",609084.00,707246.00,0.161000000,612012.00,736995.00,0.204000000,1.000000000,1.040000000,0.037000000
