Geography,Segment,Variety,Timeframe,Period,"Current Year Week Ending","Units Prior Year","Units Current Year","Unit Variance","Dollars Prior Year","Dollars Current Year","Dollar Variance","ASP Prior Year","ASP Current Year","ASP Variance"
California,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",29370491.67,28311217.04,-0.036065948,31421462.15,32580574.41,0.036889189,1.069830989,1.150800913,0.075684781
"Great Lakes",Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",19014870.07,19696175.34,0.035830130,19467894.65,18625709.19,-0.043260223,1.023824753,0.945651065,-0.076354559
Midsouth,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",17984940.39,18155641.86,0.009491356,19227934.33,18535197.49,-0.036027627,1.069113042,1.020905657,-0.045091008
Northeast,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",24394834.55,25000503.93,0.024827772,30086378.99,30089693.01,0.000110150,1.233309409,1.203563460,-0.024118805
Plains,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",9924781.46,9289036.12,-0.064056357,10515116.45,9556103.56,-0.091203259,1.059480906,1.028750824,-0.029004847
"South Central",Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",32602631.47,31190787.75,-0.043304594,25576245.23,23493208.47,-0.081444197,0.784484076,0.753209847,-0.039865983
Southeast,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",24333979.01,26813692.30,0.101903322,24283644.32,24223711.27,-0.002468042,0.997931506,0.903408266,-0.094719166
"Total U.S.",Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",190208128.30,192690835.60,0.013052582,193790991.30,189803849.80,-0.020574442,1.018836540,0.985017524,-0.033193760
West,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",32581599.78,34233781.09,0.050709030,33212314.95,32699652.26,-0.015435922,1.019358017,0.955186696,-0.062952682
Albany,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",540678.15,608347.21,0.125155899,619386.35,613600.07,-0.009341956,1.145573110,1.008634641,-0.119537084
Atlanta,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",3428614.16,3447096.06,0.005390487,3206436.78,3142189.97,-0.020036824,0.935199072,0.911546970,-0.025290980
Baltimore/Washington,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",4115736.28,4389451.01,0.066504438,5237048.52,5290264.81,0.010161504,1.272445114,1.205222429,-0.052829536
Boise,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",466896.93,550799.39,0.179702317,551569.68,569747.19,0.032955963,1.181352124,1.034400546,-0.124392698
Boston,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",3176630.66,3138398.82,-0.012035343,4257055.35,3872170.06,-0.090411155,1.340116559,1.233804332,-0.079330582
Buffalo/Rochester,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",856463.71,899936.91,0.050758952,993071.55,932382.03,-0.061112938,1.159502193,1.036052661,-0.106467701
Charlotte,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",1413539.62,1461905.22,0.034215949,1482895.03,1568391.78,0.057655295,1.049065063,1.072840947,0.022663879
Chicago,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",3365060.32,3370124.36,0.001504888,4155927.94,4113182.48,-0.010285419,1.235023312,1.220483887,-0.011772591
Cincinnati/Dayton,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",1567537.28,1560837.19,-0.004274278,1282009.29,1268244.27,-0.010737067,0.817849315,0.812541038,-0.006490532
Columbus,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",1077613.79,1114633.43,0.034353347,967698.51,882243.96,-0.088306998,0.898001231,0.791510407,-0.118586501
"Dallas/Ft. Worth",Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",7054710.03,6825167.17,-0.032537533,5078948.43,4772731.45,-0.060291414,0.719937235,0.699284183,-0.028687294
Denver,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",4179216.45,4535284.46,0.085199705,4569331.84,4343241.91,-0.049479867,1.093346539,0.957655898,-0.124105795
Detroit,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",2310452.43,2488574.36,0.077093961,2274526.02,2154206.08,-0.052898907,0.984450487,0.865638622,-0.120688513
"Grand Rapids",Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",996671.45,910248.33,-0.086711744,1204270.04,1066657.70,-0.114270334,1.208291900,1.171831537,-0.030175128
Harrisburg/Scranton,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",1557108.32,1651008.68,0.060304321,1616401.30,1615289.08,-0.000688084,1.038078905,0.978364984,-0.057523490
Hartford/Springfield,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",1585921.58,1512510.72,-0.046289086,2204301.85,2131146.07,-0.033187732,1.389918567,1.409012209,0.013737237
Houston,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",6973982.70,5845656.07,-0.161790856,4941271.31,4115862.02,-0.167043912,0.708529333,0.704088980,-0.006266999
Indianapolis,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",1142665.79,1253051.16,0.096603373,1015041.11,1007169.29,-0.007755174,0.888309704,0.803773479,-0.095165262
Jacksonville,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",1068626.17,1224599.18,0.145956570,1102133.01,1110396.73,0.007497933,1.031355062,0.906742997,-0.120823633
"Las Vegas",Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",1549970.36,1665969.33,0.074839476,1592310.85,1509844.10,-0.051790610,1.027316968,0.906285652,-0.117813021
"Los Angeles",Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",14107883.64,13175548.48,-0.066086111,13471133.00,14203309.83,0.054351540,0.954865616,1.078005204,0.128960124
