Geography,Segment,Variety,Timeframe,Period,"Current Year Week Ending","Units Prior Year","Units Current Year","Unit Variance","Dollars Prior Year","Dollars Current Year","Dollar Variance","ASP Prior Year","ASP Current Year","ASP Variance"
Albany,Avocados,Hass,"Last 04 Wks",1,"2017-01-29 00:00:00",407688.25,414997.59,0.017928748,474096.20,526144.34,0.109783921,1.162889046,1.267825049,0.090237331
Albany,Avocados,Hass,"Last 04 Wks",2,"2017-02-26 00:00:00",464174.45,474327.41,0.021873156,484448.36,643283.21,0.327867453,1.043677350,1.356200794,0.299444501
Albany,Avocados,Hass,"Last 04 Wks",3,"2017-03-26 00:00:00",412013.41,428197.68,0.039280930,492765.05,536982.97,0.089734286,1.195992747,1.254053899,0.048546408
Albany,Avocados,Hass,"Last 04 Wks",4,"2017-04-23 00:00:00",427319.20,388241.62,-0.091448220,496838.57,557034.31,0.121157542,1.162687214,1.434761966,0.234005113
Albany,Avocados,Hass,"Last 04 Wks",5,"2017-05-21 00:00:00",502563.73,473973.05,-0.056889661,527758.58,587504.68,0.113207255,1.050132647,1.239531826,0.180357386
Albany,Avocados,Hass,"Last 04 Wks",6,"2017-06-18 00:00:00",477173.71,415443.67,-0.129365970,572305.60,624191.90,0.090661877,1.199365321,1.502470600,0.252721396
Albany,Avocados,Hass,"Last 04 Wks",7,"2017-07-16 00:00:00",481775.54,413702.81,-0.141295529,549677.29,577960.35,0.051453936,1.140940634,1.397042360,0.224465427
Albany,Avocados,Hass,"Last 04 Wks",8,"2017-08-13 00:00:00",444113.65,417671.30,-0.059539602,555035.69,572604.86,0.031654127,1.249760484,1.370946148,0.096967112
Albany,Avocados,Hass,"Last 04 Wks",9,"2017-09-10 00:00:00",430717.35,347638.75,-0.192884266,538470.81,525601.10,-0.023900478,1.250172091,1.511917472,0.209367481
Albany,Avocados,Hass,"Last 04 Wks",10,"2017-10-08 00:00:00",363828.58,309351.58,-0.149732602,464606.49,492890.59,0.060877540,1.276992835,1.593302320,0.247698715
Albany,Avocados,Hass,"Last 04 Wks",11,"2017-11-05 00:00:00",286046.95,296886.48,0.037894234,399689.44,478452.40,0.197060398,1.397286145,1.611566818,0.153354898
Albany,Avocados,Hass,"Last 04 Wks",12,"2017-12-03 00:00:00",314630.17,419403.47,0.333004619,435269.82,492424.75,0.131309196,1.383433191,1.174107477,-0.151308871
Albany,Avocados,Hass,"Last 04 Wks",13,"2017-12-31 00:00:00",352292.52,365907.97,0.038648138,438910.27,516383.34,0.176512320,1.245868831,1.411238296,0.132734250
Atlanta,Avocados,Hass,"Last 04 Wks",1,"2017-01-29 00:00:00",2007124.88,2254676.72,0.123336541,2053575.96,2477949.24,0.206650880,1.023143094,1.099026401,0.074166856
